Factor Accession No.	Factor Name	Factor Species
T00018	AhR	mouse, Mus musculus
T00019	AhR	rat, Rattus norvegicus
T01795	AhR	human, Homo sapiens
T00029	AP-1	human, Homo sapiens
T00031	AP-1	rat, Rattus norvegicus
T00032	AP-1	mouse, Mus musculus
T01346	Arnt	human, Homo sapiens
T01797	Arnt	mouse, Mus musculus
T01798	Arnt	rat, Rattus norvegicus
T01303	ATF-4	human, Homo sapiens
T04854	ATF4	mouse, Mus musculus
T02052	ATF4 (381AA)	mouse, Mus musculus
T00123	c-Fos	human, Homo sapiens
T00122	c-Fos	mouse, Mus musculus
T00124	c-Fos	rat, Rattus norvegicus
T00131	c-Jun	mouse, Mus musculus
T00132	c-Jun	rat, Rattus norvegicus
T00133	c-Jun	human, Homo sapiens
T00104	C/EBPalpha	mouse, Mus musculus
T00108	C/EBPalpha	rat, Rattus norvegicus
T00105	C/EBPalpha	human, Homo sapiens
T02359	C/EBPalpha(p20)	mouse, Mus musculus
T02026	C/EBPalpha(p30)	mouse, Mus musculus
T02027	C/EBPalpha(p30)	rat, Rattus norvegicus
T00459	C/EBPbeta(LAP)	rat, Rattus norvegicus
T01420	C/EBPbeta(p20)	rat, Rattus norvegicus
T02360	C/EBPbeta(p20)	mouse, Mus musculus
T02105	C/EBPbeta(p34)	rat, Rattus norvegicus
T00017	C/EBPbeta(p35)	mouse, Mus musculus
T00583	C/EBPdelta	human, Homo sapiens
T01114	C/EBPdelta	mouse, Mus musculus
T00109	C/EBPdelta	rat, Rattus norvegicus
T00171	C/EBPepsilon	rat, Rattus norvegicus
T02028	C/EBPgamma	rat, Rattus norvegicus
T00147	COUP	rat, Rattus norvegicus
T00149	COUP-TF1	human, Homo sapiens
T00994	COUP-TF1	mouse, Mus musculus
T00045	COUP-TF2	human, Homo sapiens
T00989	CREB	mouse, Mus musculus
T00164	CREB	rat, Rattus norvegicus
T00163	CREB	human, Homo sapiens
T02280	CREB/ATF	mouse, Mus musculus
T02361	CREBbeta	mouse, Mus musculus
T00174	CTF	human, Homo sapiens
T00176	CTF-1	human, Homo sapiens
T00166	deltaCREB	human, Homo sapiens
T00165	deltaCREB	rat, Rattus norvegicus
T01311	deltaCREB	mouse, Mus musculus
T02770	FTF	human, Homo sapiens
T04754	FTF	mouse, Mus musculus
T05313	FXR:RXR-alpha	human, Homo sapiens
T05318	FXR:RXR-alpha	rat, Rattus norvegicus
T05322	FXR:RXR-alpha	mouse, Mus musculus
