Gene Accession No.	Gene Identifier	Gene Name	Gene Species
G000699	RAT$AMGL	A2-Mag	rat, Rattus norvegicus
G001208	MOUSE$ACAC	Acac	mouse, Mus musculus
G000684	RAT$ACC	ACC	rat, Rattus norvegicus
G000685	RAT$ADH1	ADH	rat, Rattus norvegicus
G000691	RAT$AFEP	AFP	rat, Rattus norvegicus
G000467	MOUSE$AFEP	AFP	mouse, Mus musculus
G000192	HS$AFP	AFP	human, Homo sapiens
G000697	RAT$AGP	AGP	rat, Rattus norvegicus
G000188	HS$ALBU	ALB	human, Homo sapiens
G000464	MOUSE$ALBU	Alb	mouse, Mus musculus
G000686	RAT$ALBU	ALB	rat, Rattus norvegicus
G000189	HS$ALDA	ALDA	human, Homo sapiens
G000687	RAT$ALDB	ALDB	rat, Rattus norvegicus
G001111	HS$ALDC	ALDC	human, Homo sapiens
G000190	HS$ALDB	ALDOB	human, Homo sapiens
G000705	RAT$APOA1	ApoA-I	rat, Rattus norvegicus
G001065	MOUSE$APOA1	ApoA-I	mouse, Mus musculus
G001066	HS$APOA4	apoA-IV	human, Homo sapiens
G001067	MOUSE$APOA4	ApoA-IV	mouse, Mus musculus
G001068	RAT$APOA4	ApoA-IV	rat, Rattus norvegicus
G000203	HS$APOA1	apoAI	human, Homo sapiens
G000204	HS$APOA2	apoAII	human, Homo sapiens
G000205	HS$APOB	apoB	human, Homo sapiens
G001152	HS$APOC2	apoC-II	human, Homo sapiens
G000706	RAT$APOC3	apoC-III	rat, Rattus norvegicus
G000206	HS$APOC3	apoCIII	human, Homo sapiens
G000209	HS$APOD	ApoD	human, Homo sapiens
G000207	HS$APOE	apoE	human, Homo sapiens
G000180	HS$APP	APP	human, Homo sapiens
G000707	RAT$ARGL	ARGL	rat, Rattus norvegicus
G002867	MOUSE$CMET	c-met	mouse, Mus musculus
G001192	RAT$CEBPA	C/EBPalpha	rat, Rattus norvegicus
G001036	HS$CETP	CETP	human, Homo sapiens
G000725	RAT$CPS1	CPSI	rat, Rattus norvegicus
G001740	MOUSE$FABPL	FABPL	mouse, Mus musculus
G001019	RAT$FAS	FAS	rat, Rattus norvegicus
G000692	RAT$AF	Fib-Aalpha	rat, Rattus norvegicus
G000710	RAT$BF	Fib-B	rat, Rattus norvegicus
G001191	RAT$FPPS	FPPS	rat, Rattus norvegicus
G002482	HS$FTF	FTF	human, Homo sapiens
G002684	MOUSE$FTF	FTF	mouse, Mus musculus
G000750	RAT$GSTP	GST-P	rat, Rattus norvegicus
G000756	RAT$HNF1	HNF-1	rat, Rattus norvegicus
G001010	MOUSE$HNF3B	HNF-3beta	mouse, Mus musculus
G001172	RAT$HNF3B	HNF-3beta	rat, Rattus norvegicus
G001173	MOUSE$HNF4	HNF-4	mouse, Mus musculus
G001926	HS$HNF4A	HNF4A	human, Homo sapiens
G001225	HS$INOS	iNOS	human, Homo sapiens
G001029	RAT$KINK	KIN-K	rat, Rattus norvegicus
G001028	RAT$KINT1	KIN-T1	rat, Rattus norvegicus
G000763	RAT$LPK	L-PK	rat, Rattus norvegicus
G001190	HS$LDLR	LDLR	human, Homo sapiens
G000329	HS$LPL	LPL	human, Homo sapiens
G001642	HS$MET	met	human, Homo sapiens
G001073	MOUSE$INOS	Nos2	mouse, Mus musculus
G000781	RAT$OTC	OTC	rat, Rattus norvegicus
G000782	RAT$PEPCK	PEPCK	rat, Rattus norvegicus
G000784	RAT$PFK	PFK-2/FBPase-2	rat, Rattus norvegicus
G000587	MOUSE$PFKL	PFKL	mouse, Mus musculus
G000381	HS$SAA	SAA	human, Homo sapiens
G000794	RAT$SAA1	SAA1	rat, Rattus norvegicus
G000382	HS$SAA2	SAA2	human, Homo sapiens
G000599	MOUSE$SAA3	SAA3	mouse, Mus musculus
G000384	HS$SAAG9	SAAg9	human, Homo sapiens
G000603	MOUSE$SAB	SAB	mouse, Mus hortulanus
G000600	MOUSE$SCC	SCC	mouse, Mus musculus
G000601	MOUSE$SCD1	SCD1	mouse, Mus musculus
G002466	MOUSE$SREBP1C	SREBP-1	mouse, Mus musculus
G002349	HS$SREBP2	srebp-2	human, Homo sapiens
G001183	HS$SS	SS	human, Homo sapiens
G000798	RAT$TAT	TAT	rat, Rattus norvegicus
G000625	MOUSE$TTPA	TTR	mouse, Mus musculus
G001746	RAT$TTR	TTR	rat, Rattus norvegicus
