Factor Accession No.	Factor Name	Factor Species
T00018	AhR	mouse, Mus musculus
T00019	AhR	rat, Rattus norvegicus
T01795	AhR	human, Homo sapiens
T00505	aMEF-2	mouse, Mus musculus
T00029	AP-1	human, Homo sapiens
T00031	AP-1	rat, Rattus norvegicus
T00032	AP-1	mouse, Mus musculus
T00033	AP-2alpha	mouse, Mus musculus
T02467	AP-2beta	human, Homo sapiens
T02469	AP-2beta	mouse, Mus musculus
T00040	AR	human, Homo sapiens
T00041	AR	mouse, Mus musculus
T00042	AR	rat, Rattus norvegicus
T01665	ATBF1-A	human, Homo sapiens
T00048	ATBF1-B	human, Homo sapiens
T01668	Atoh1	mouse, Mus musculus
T04544	ATOH1	human, Homo sapiens
T01629	Atoh2	mouse, Mus musculus
T04793	Bach1	mouse, Mus musculus
T00113	c-Ets-2	human, Homo sapiens
T01397	c-Ets-2	mouse, Mus musculus
T00140	c-Myc	human, Homo sapiens
T00142	c-Myc	rat, Rattus norvegicus
T00143	c-Myc	mouse, Mus musculus
T00583	C/EBPdelta	human, Homo sapiens
T01114	C/EBPdelta	mouse, Mus musculus
T00109	C/EBPdelta	rat, Rattus norvegicus
T02970	Chx10	mouse, Mus musculus
T04139	Chx10	human, Homo sapiens
T00149	COUP-TF1	human, Homo sapiens
T00994	COUP-TF1	mouse, Mus musculus
T01017	CRE-BP2	mouse, Mus musculus
T00989	CREB	mouse, Mus musculus
T00164	CREB	rat, Rattus norvegicus
T00163	CREB	human, Homo sapiens
T01314	CREMalpha	mouse, Mus musculus
T01315	CREMbeta	mouse, Mus musculus
T01316	CREMgamma	mouse, Mus musculus
T01309	CREMtau	mouse, Mus musculus
T02006	Dlx-1	mouse, Mus musculus
T02009	Dlx-2	mouse, Mus musculus
T00242	Egr-2	human, Homo sapiens
T00454	Egr-2	mouse, Mus musculus
T02011	Emx-1	mouse, Mus musculus
T02013	Emx-2	mouse, Mus musculus
T02016	En-1	mouse, Mus musculus
T00261	ER-alpha	human, Homo sapiens
T00258	ER-alpha	rat, Rattus norvegicus
T00259	ER-alpha	mouse, Mus musculus
T02443	FOXB1	mouse, Mus musculus
T02442	FOXB2	mouse, Mus musculus
T02471	FOXC1	human, Homo sapiens
T02426	FOXC1	mouse, Mus musculus
T02445	FOXC2	mouse, Mus musculus
T04166	FOXD3	mouse, Mus musculus
T02473	FOXD4	human, Homo sapiens
T02431	FOXD4	mouse, Mus musculus
T02353	FOXG1	mouse, Mus musculus
