Factor Accession No.	Factor Name	Factor Species
T01497	ALF1A	mouse, Mus musculus
T00084	CBF(2)	rat, Rattus norvegicus
T02003	Cdx-3	golden (Syrian) hamster, Mesocricetus auratus
T00147	COUP	rat, Rattus norvegicus
T00149	COUP-TF1	human, Homo sapiens
T00994	COUP-TF1	mouse, Mus musculus
T00045	COUP-TF2	human, Homo sapiens
T00989	CREB	mouse, Mus musculus
T00164	CREB	rat, Rattus norvegicus
T00163	CREB	human, Homo sapiens
T00204	E12	human, Homo sapiens
T00675	E12	rat, Rattus norvegicus
T01786	E12	mouse, Mus musculus
T00207	E47	human, Homo sapiens
T00674	E47	rat, Rattus norvegicus
T01788	E47	mouse, Mus musculus
T01503	HEB	human, Homo sapiens
T01851	HMG I	human, Homo sapiens
T02368	HMG I	human, Homo sapiens
T01852	HMG-Y	mouse, Mus musculus
T01211	HNF-1alpha	mouse, Mus musculus
T00369	HNF-1alpha	rat, Rattus norvegicus
T00368	HNF-1alpha-A	human, Homo sapiens
T01950	HNF-1alpha-B	human, Homo sapiens
T00889	HNF-1beta	rat, Rattus norvegicus
T00890	HNF-1beta	mouse, Mus musculus
T01104	HNF-3	human, Homo sapiens
T00370	HNF-3	mouse, Mus musculus
T02512	HNF-3alpha	human, Homo sapiens
T02343	HNF-3alpha	mouse, Mus musculus
T00371	HNF-3alpha	rat, Rattus norvegicus
T02513	HNF-3beta	human, Homo sapiens
T01049	HNF-3beta	rat, Rattus norvegicus
T02344	HNF-3beta	mouse, Mus musculus
T03296	HNF-6	mouse, Mus musculus
T03257	HNF-6alpha	rat, Rattus norvegicus
T03286	HNF-6alpha	human, Homo sapiens
T03258	HNF-6beta	rat, Rattus norvegicus
T04466	IB1	rat, Rattus norvegicus
T04362	IPF1	human, Homo sapiens
T02057	IPF1	mouse, Mus musculus
T02058	IPF1	rat, Rattus norvegicus
T01035	Isl-1alpha	rat, Rattus norvegicus
T01957	Isl-1alpha	human, Homo sapiens
T04465	JIP-1	human, Homo sapiens
T04468	JIP-1	mouse, Mus musculus
T01960	LHX1	human, Homo sapiens
T01961	Lhx1	mouse, Mus musculus
T04300	Lmx1a	mouse, Mus musculus
T04302	LMX1A	human, Homo sapiens
T04293	LMX1B	human, Homo sapiens
T04303	Lmx1b	mouse, Mus musculus
T04304	Lmx1b	rat, Rattus norvegicus
T00490	MAZ	human, Homo sapiens
T02303	MAZ	mouse, Mus musculus
T01626	NeuroD	mouse, Mus musculus
T04903	NEUROD-2	human, Homo sapiens
T04907	NEUROD-3	human, Homo sapiens
T04546	NeuroD1	human, Homo sapiens
T00550	NF-AT1	human, Homo sapiens
T01944	NF-AT1	mouse, Mus musculus
T01948	NF-AT1	human, Homo sapiens
T05171	NF-AT1	rat, Rattus norvegicus
T00150	NF-Y	human, Homo sapiens
T00613	NF-Y	mouse, Mus musculus
T00615	NF-YA	mouse, Mus musculus
T00616	NF-YB	mouse, Mus musculus
T02477	NF-YC	mouse, Mus musculus
T02384	Nkx2-2	mouse, Mus musculus
T04268	Nkx6-1	human, Homo sapiens
T04269	Nkx6-1	mouse, Mus musculus
T04297	Nkx6-1	rat, Rattus norvegicus
T02982	Pax-4a	human, Homo sapiens
T02983	Pax-4a	mouse, Mus musculus
T03001	Pax-4a	rat, Rattus norvegicus
T03003	Pax-4c	rat, Rattus norvegicus
T03195	Pax-4c	mouse, Mus musculus
T00681	Pax-6	mouse, Mus musculus
T01122	Pax-6	human, Homo sapiens
T03008	Pax-6	rat, Rattus norvegicus
T05235	PPAR-gamma:RXR-alpha	rat, Rattus norvegicus
T05236	PPAR-gamma:RXR-alpha	mouse, Mus musculus
T01789	SCBPgamma	rat, Rattus norvegicus
T00754	Sp1	rat, Rattus norvegicus
T00752	Sp1	mouse, Mus musculus
T00759	Sp1	human, Homo sapiens
T04683	STAT5A	human, Homo sapiens
T01579	STAT5A	mouse, Mus musculus
T04684	STAT5B	human, Homo sapiens
T00944	STAT5B	mouse, Mus musculus
T04761	STAT5B	rat, Rattus norvegicus
T00796	TBP	mouse, Mus musculus
T00794	TBP	human, Homo sapiens
T00875	USF-1	rat, Rattus norvegicus
T00877	USF-1	mouse, Mus musculus
T00874	USF1	human, Homo sapiens
T05262	USF1:USF2	rat, Rattus norvegicus
T00878	USF2	human, Homo sapiens
T01555	USF2	mouse, Mus musculus
T02115	USF2	rat, Rattus norvegicus
T02377	USF2b	human, Homo sapiens
