Factor Accession No.	Factor Name	Factor Species
T00029	AP-1	human, Homo sapiens
T00031	AP-1	rat, Rattus norvegicus
T00032	AP-1	mouse, Mus musculus
T00968	ATF-1	human, Homo sapiens
T01304	ATF-1	mouse, Mus musculus
T00112	c-Ets-1	human, Homo sapiens
T00111	c-Ets-1	mouse, Mus musculus
T05015	c-Ets-1	rat, Rattus norvegicus
T00104	C/EBPalpha	mouse, Mus musculus
T00108	C/EBPalpha	rat, Rattus norvegicus
T00105	C/EBPalpha	human, Homo sapiens
T00989	CREB	mouse, Mus musculus
T00164	CREB	rat, Rattus norvegicus
T00163	CREB	human, Homo sapiens
T00244	Egr-1	mouse, Mus musculus
T01200	Egr-1	rat, Rattus norvegicus
T00261	ER-alpha	human, Homo sapiens
T00258	ER-alpha	rat, Rattus norvegicus
T00259	ER-alpha	mouse, Mus musculus
T01302	GATA-2	mouse, Mus musculus
T00308	GATA-2	human, Homo sapiens
T01964	Lhx3a	mouse, Mus musculus
T03446	LHX3a	human, Homo sapiens
T03447	LHX3b	human, Homo sapiens
T04840	Lhx3b	mouse, Mus musculus
T03542	Lhx4	mouse, Mus musculus
T01626	NeuroD	mouse, Mus musculus
T04546	NeuroD1	human, Homo sapiens
T02415	Pitx1	mouse, Mus musculus
T02455	PITX1	human, Homo sapiens
T02410	Pitx2	mouse, Mus musculus
T02413	PITX2	human, Homo sapiens
T00325	POU1F1	human, Homo sapiens
T01172	POU1F1	mouse, Mus musculus
T00691	POU1F1a	rat, Rattus norvegicus
T00641	POU2F1	human, Homo sapiens
T00643	POU2F1	rat, Rattus norvegicus
T00644	POU2F1a	mouse, Mus musculus
T02777	Prop-1	mouse, Mus spec.
T02778	Prop-1	human, Homo sapiens
T01327	RAR-alpha	mouse, Mus musculus
T05274	RAR-alpha	rat, Rattus norvegicus
T05273	RAR-alpha:RXR-alpha	rat, Rattus norvegicus
T05300	RAR-alpha:RXR-alpha	human, Homo sapiens
T05370	RAR-alpha:RXR-gamma	human, Homo sapiens
T00719	RAR-alpha1	human, Homo sapiens
T02769	SF-1	human, Homo sapiens
T01147	SF-1	mouse, Mus musculus
T04002	SF-1	rat, Rattus norvegicus
T00754	Sp1	rat, Rattus norvegicus
T00752	Sp1	mouse, Mus musculus
T00759	Sp1	human, Homo sapiens
T00838	T3R-alpha	human, Homo sapiens
T00841	T3R-alpha	rat, Rattus norvegicus
T04810	T3R-alpha:RXR-alpha	human, Homo sapiens
T00836	T3R-alpha1	mouse, Mus musculus
T01173	T3R-alpha2	mouse, Mus musculus
T00852	T3R-beta	rat, Rattus norvegicus
T00885	VDR	human, Homo sapiens
T00882	VDR	rat, Rattus norvegicus
T00883	VDR	mouse, Mus musculus
T02317	Zn-15	rat, Rattus rattus
