Factor Accession No.	Factor Name	Factor Species
T01140	AP-1	chick, Gallus gallus
T00027	AP-1	clawed frog, Xenopus
T01156	AP-1	gibbon ape, Hylobates lar
T01115	AP-1	hamster, Cricetulus sp.
T00029	AP-1	human, Homo sapiens
T00030	AP-1	monkey, Cercopithecus aethiops
T00032	AP-1	mouse, Mus musculus
T00031	AP-1	rat, Rattus norvegicus
T01385	CREB	cattle, Bos taurus
T01127	CREB	domestic pig, Sus scrofa
T01307	CREB	hamster, Cricetulus sp.
T00163	CREB	human, Homo sapiens
T01380	CREB	mink, Mustela vison
T06576	CREB	monkey, Cercopithecus aethiops
T00989	CREB	mouse, Mus musculus
T00164	CREB	rat, Rattus norvegicus
T08562	CREB1	human, Homo sapiens
T09440	CREB1	mouse, Mus musculus
T08452	CREB1	rat, Rattus norvegicus
T11030	Del-701	human, Homo sapiens
T08472	Delta113p53	zebra fish, Brachydanio rerio
T08426	Delta133p53	human, Homo sapiens
T08427	Delta133p53beta	human, Homo sapiens
T08428	Delta133p53gamma	human, Homo sapiens
T08404	Delta40p53	human, Homo sapiens
T08424	Delta40p53beta	human, Homo sapiens
T08425	Delta40p53gamma	human, Homo sapiens
T09462	Egr-1	human, Homo sapiens
T00241	Egr-1	human, Homo sapiens
T02340	Egr-1	monkey, Cercopithecus aethiops
T00244	Egr-1	mouse, Mus musculus
T00455	Egr-1	mouse, Mus musculus
T10013	Egr-1	mouse, Mus musculus
T05807	Egr-1	rabbit, Oryctolagus cuniculus
T10132	Egr-1	rat, Rattus norvegicus
T01200	Egr-1	rat, Rattus norvegicus
T05377	HIF-1	cattle, Bos taurus
T01609	HIF-1	human, Homo sapiens
T04667	HIF-1	mouse, Mus musculus
T05404	HIF-1	rat, Rattus norvegicus
T11325	HSF1	chick, Gallus gallus
T01044	HSF1	chick, Gallus gallus
T10036	HSF1	human, Homo sapiens
T00384	HSF1	mouse, Mus musculus
T05814	HSF1	rat, Rattus norvegicus
T01042	HSF1-L	human, Homo sapiens
T02104	HSF1-S	human, Homo sapiens
T10747	MTF-1	human, Homo sapiens
T02354	MTF-1	human, Homo sapiens
T10644	MTF-1	mouse, Mus musculus
T00515	MTF-1	mouse, Mus musculus
