EPDnew version,%GC
dm6,42.03
hg38,40.40
rheMac8,41.16
mm10,41.9261
rn6,41.8562
galGal5,42.01
canFam3,41.23
amel5,32.5
danRer7,36.90
ce6,35.43
Dm6 FlyBase,42.03
hg38 GENECODE,40.40
