Start,End,Motif,Length,Score
1,10,GAGA,10,13.35
3,12,GAGA,10,7.02
13,19,BREu,7,10.22
21,28,TATA,8,12.33
30,36,BREd,7,5.19
103,112,XCPE1,10,15.68
114,124,XCPE2,11,16.13
135,145,Motif1,11,18.49
86,93,dTCT,8,11.39
95,101,hTCT,7,9.25
87,93,hTCT,7,9.13
85,91,hTCT,7,8.73
125,130,BBCABW,6,6.41
115,120,BBCABW,6,6.21
137,142,BBCABW,6,5.88
50,55,BBCABW,6,5.76
77,82,BBCABW,6,3.67
138,143,hInr,6,5.15
51,56,hInr,6,4.60
116,121,hInr,6,4.60
40,45,hInr,6,4.15
92,97,hInr,6,3.82
100,105,hInr,6,2.47
126,131,hInr,6,1.79
65,70,hInr,6,1.70
32,37,hInr,6,1.63
111,116,hInr,6,1.56
69,74,hInr,6,1.09
51,56,dInr,6,8.94
116,121,dInr,6,6.50
51,62,MTE,12,12.04(hInr)
51,62,MTE,12,12.04(dInr)
50,61,MTE,12,12.04(BBCABW)
51,55,bridge,5,7.43(hInr)
51,55,bridge,5,7.43(dInr)
50,54,bridge,5,7.43(BBCABW)
51,56,DPE,6,7.33(hInr)
51,56,DPE,6,7.33(dInr)
50,55,DPE,6,7.33(BBCABW)
147,153,PB,7,10.80
57,63,PB,7,9.80
176,182,PB,7,8.44
78,84,PB,7,7.61
